date,All Employees: Information,state,msa,city,title,id,frequency,seasonal_adjustment
1999-01-01,9.62847338481208,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1999-02-01,9.78471638189061,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1999-03-01,9.642077264815029,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1999-04-01,10.2605458891823,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1999-05-01,10.4852143626069,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1999-06-01,10.4116067085623,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1999-07-01,10.639594552572401,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1999-08-01,10.7359709409993,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1999-09-01,10.7868969164697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1999-10-01,10.980967499130198,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1999-11-01,10.841568683256801,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
1999-12-01,11.0043636703915,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-01-01,11.0189976548145,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-02-01,10.897023711805101,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-03-01,10.9157532497718,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-04-01,11.0618081334184,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-05-01,10.976214686570101,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-06-01,11.2535590807179,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-07-01,11.058969528220501,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-08-01,11.145145505804901,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-09-01,11.2726348607131,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-10-01,11.2474785796279,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-11-01,11.125969262328901,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2000-12-01,11.3064338224601,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-01-01,11.643587935482099,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-02-01,11.892783781895002,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-03-01,11.7135583302116,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-04-01,11.4644660180498,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-05-01,11.3571415327704,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-06-01,11.346048540831301,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-07-01,11.5769696483781,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-08-01,11.674698578394,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-09-01,11.7778195746432,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-10-01,11.62652467048,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-11-01,11.575948995045,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
2001-12-01,11.3983931324887,NM,"Albuquerque, NM",Albuquerque,"All Employees: Information in Albuquerque, NM (MSA)",ALBU735INFO,Monthly,Seasonally Adjusted
