date,Housing Inventory: Active Listing Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2021-02-01,-58.16,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2021-03-01,-59.98,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2021-04-01,-63.23,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2021-05-01,-61.51,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2021-06-01,-52.64,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2021-07-01,-41.46,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2021-08-01,-32.51,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2021-09-01,-27.95,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2021-10-01,-26.58,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2021-11-01,-23.43,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2017-07-01,15.16,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Year-Over-Year in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUYY13140,Monthly,Not Seasonally Adjusted
2017-08-01,20.74,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Year-Over-Year in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUYY13140,Monthly,Not Seasonally Adjusted
2017-09-01,3.87,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Year-Over-Year in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUYY13140,Monthly,Not Seasonally Adjusted
2017-10-01,-6.49,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Year-Over-Year in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUYY13140,Monthly,Not Seasonally Adjusted
2017-11-01,-9.24,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Year-Over-Year in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUYY13140,Monthly,Not Seasonally Adjusted
2017-12-01,-7.64,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Year-Over-Year in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUYY13140,Monthly,Not Seasonally Adjusted
2018-01-01,-7.75,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Year-Over-Year in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUYY13140,Monthly,Not Seasonally Adjusted
2018-02-01,-13.39,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Year-Over-Year in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUYY13140,Monthly,Not Seasonally Adjusted
2018-03-01,-17.14,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Year-Over-Year in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUYY13140,Monthly,Not Seasonally Adjusted
2018-04-01,-15.02,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Year-Over-Year in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUYY13140,Monthly,Not Seasonally Adjusted
2018-05-01,-15.5,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Active Listing Count Year-Over-Year in Beaumont-Port Arthur, TX (CBSA)",ACTLISCOUYY13140,Monthly,Not Seasonally Adjusted
