date,Unemployment Rate,state,msa,city,title,id,frequency,seasonal_adjustment
2001-02-01,4.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2001-03-01,4.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2001-04-01,4.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2001-05-01,4.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2001-06-01,4.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2001-07-01,4.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2001-08-01,4.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2001-09-01,4.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2001-10-01,4.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2001-11-01,4.8,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2001-12-01,4.9,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2002-01-01,5.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2002-02-01,5.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2002-03-01,5.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2002-04-01,5.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2002-05-01,5.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2002-06-01,5.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2002-07-01,5.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2002-08-01,5.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
2002-09-01,5.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
