date,All Employees: Government: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
2001-01-01,33.0834273193103,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2001-02-01,33.2256855732545,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2001-03-01,33.5221390020683,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2001-04-01,33.9455653628862,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2001-05-01,34.221078963961396,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2001-06-01,33.81969197712711,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2001-07-01,33.8980540453255,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2001-08-01,33.8802238522326,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2001-09-01,34.0587213268506,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2001-10-01,34.2206323528287,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2001-11-01,34.4865708241424,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2001-12-01,34.8912359097617,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2002-01-01,34.898683349769804,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2002-02-01,35.1155707045469,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2002-03-01,35.2215980193667,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
2002-04-01,35.291330628144,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
