date,All Employees: Government: Federal Government,state,msa,city
2016-11-01,112.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-12-01,115.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,113.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-02-01,113.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-03-01,112.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-04-01,112.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-05-01,112.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-06-01,113.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-07-01,113.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,112.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,111.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,111.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,111.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,112.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,110.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,110.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
