date,Average Hourly Earnings of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2018-01-01,20.4907269340526,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2018-02-01,20.979998351724102,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2018-03-01,21.0780161568517,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2018-04-01,21.4078224558885,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2018-05-01,21.2616250564383,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2018-06-01,20.4777487240269,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2018-07-01,21.0023071102703,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2018-08-01,21.1221481423364,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2018-09-01,21.570232703534497,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2018-10-01,21.0405723247839,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2018-11-01,21.2352331554475,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2018-12-01,21.626671688351102,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2019-01-01,21.615513297536502,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2019-02-01,21.6103045027352,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2019-03-01,21.636589687371,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2019-04-01,21.766513408551802,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2019-05-01,21.9819648365724,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2019-06-01,22.9904647211768,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2019-07-01,22.14712549736,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2019-08-01,22.3176137853669,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2019-09-01,22.8444513109691,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2019-10-01,22.806086780578102,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2019-11-01,22.7527413146493,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
