date,Housing Inventory: Active Listing Count,state,msa,city
2021-01-01,-14.21,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-02-01,-11.55,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-03-01,-3.07,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-04-01,4.31,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-05-01,5.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-06-01,13.3,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-07-01,10.09,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-08-01,5.29,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-09-01,0.09,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-10-01,-2.9,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-11-01,-12.92,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-07-01,-11.57,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-08-01,-8.91,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-09-01,-10.05,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-10-01,-8.33,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-11-01,-8.56,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-12-01,-8.83,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-01-01,-9.95,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-02-01,-10.99,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-03-01,-10.38,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-04-01,-4.95,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-05-01,-4.03,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-06-01,-0.42,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-07-01,1.48,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-08-01,2.03,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-09-01,5.13,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-10-01,4.77,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-11-01,7.29,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-12-01,8.11,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-01-01,9.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-02-01,8.92,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-03-01,9.05,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-04-01,8.34,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-05-01,8.23,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-06-01,5.97,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-07-01,3.97,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-08-01,2.06,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-09-01,0.72,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-10-01,0.53,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-11-01,-1.83,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
