date,All Employees: Government: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
1999-01-01,2.64014531098977,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1999-02-01,2.58236817881346,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1999-03-01,2.5402474005854,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1999-04-01,2.58262601695046,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1999-05-01,2.60004123572718,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1999-06-01,2.5266967211253397,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1999-07-01,2.5701503378939,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1999-08-01,2.5527325373118903,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1999-09-01,2.57795562046342,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1999-10-01,2.5817277990619703,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1999-11-01,2.6345446801677403,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1999-12-01,2.43208891531631,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
2000-01-01,2.6278274508913704,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
2000-02-01,2.59368569834403,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
2000-03-01,2.54927330569281,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
2000-04-01,2.5844385569848396,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
2000-05-01,2.8960515133135294,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
2000-06-01,2.60435367327748,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
2000-07-01,2.54238200306186,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
2000-08-01,2.54173211497321,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
2000-09-01,2.58730451278835,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
2000-10-01,2.57584072547168,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
