date,All Employees: Government,state,msa,city,title,id,frequency,seasonal_adjustment
2000-06-01,5.77416521503904,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
2000-07-01,5.781740134316901,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
2000-08-01,5.836221667718379,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
2000-09-01,5.83784801191753,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
2000-10-01,5.7224890651159,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
2000-11-01,5.645700044428231,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
2000-12-01,5.65253041407421,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
2001-01-01,5.7998723785534905,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
2001-02-01,5.680580834728251,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
2001-03-01,5.66919464135511,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
2001-04-01,5.81006281274996,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
