date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2019-08-01,322904.0349,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2019-09-01,323799.8907,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2019-10-01,315215.5655,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2019-11-01,303944.3052,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2019-12-01,298837.9063,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2020-01-01,304674.9177,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2020-02-01,319335.3732,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2020-03-01,343623.9359,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2020-04-01,345593.1381,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
2020-05-01,353099.0778,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Average Listing Price in Morgantown, WV (CBSA)",AVELISPRI34060,Monthly,Not Seasonally Adjusted
