date,Housing Inventory: Median Listing Price Month-Over-Month,state,msa,city
2019-08-01,-0.03,VA,"Charlottesville, VA",Charlottesville
2019-09-01,0.21,VA,"Charlottesville, VA",Charlottesville
2019-10-01,1.87,VA,"Charlottesville, VA",Charlottesville
2019-11-01,-0.4,VA,"Charlottesville, VA",Charlottesville
2019-12-01,-0.02,VA,"Charlottesville, VA",Charlottesville
2020-01-01,3.54,VA,"Charlottesville, VA",Charlottesville
2020-02-01,2.06,VA,"Charlottesville, VA",Charlottesville
2020-03-01,2.44,VA,"Charlottesville, VA",Charlottesville
2020-04-01,0.34,VA,"Charlottesville, VA",Charlottesville
2020-05-01,2.93,VA,"Charlottesville, VA",Charlottesville
2020-06-01,2.61,VA,"Charlottesville, VA",Charlottesville
2020-07-01,2.43,VA,"Charlottesville, VA",Charlottesville
2020-08-01,-1.87,VA,"Charlottesville, VA",Charlottesville
2020-09-01,4.61,VA,"Charlottesville, VA",Charlottesville
2020-10-01,-0.51,VA,"Charlottesville, VA",Charlottesville
2020-11-01,-2.93,VA,"Charlottesville, VA",Charlottesville
2020-12-01,-1.11,VA,"Charlottesville, VA",Charlottesville
2021-01-01,0.09,VA,"Charlottesville, VA",Charlottesville
2021-02-01,6.65,VA,"Charlottesville, VA",Charlottesville
2021-03-01,-4.33,VA,"Charlottesville, VA",Charlottesville
2021-04-01,-1.49,VA,"Charlottesville, VA",Charlottesville
2021-05-01,-3.56,VA,"Charlottesville, VA",Charlottesville
2021-06-01,-0.52,VA,"Charlottesville, VA",Charlottesville
2021-07-01,-4.15,VA,"Charlottesville, VA",Charlottesville
2021-08-01,-0.64,VA,"Charlottesville, VA",Charlottesville
2021-09-01,2.68,VA,"Charlottesville, VA",Charlottesville
2021-10-01,4.44,VA,"Charlottesville, VA",Charlottesville
2021-11-01,2.07,VA,"Charlottesville, VA",Charlottesville
2017-07-01,-2.09,GA,"Gainesville, GA",Gainesville
2017-08-01,0.02,GA,"Gainesville, GA",Gainesville
2017-09-01,0.02,GA,"Gainesville, GA",Gainesville
2017-10-01,-1.38,GA,"Gainesville, GA",Gainesville
2017-11-01,-1.71,GA,"Gainesville, GA",Gainesville
2017-12-01,-0.28,GA,"Gainesville, GA",Gainesville
2018-01-01,1.87,GA,"Gainesville, GA",Gainesville
2018-02-01,3.24,GA,"Gainesville, GA",Gainesville
2018-03-01,2.84,GA,"Gainesville, GA",Gainesville
2018-04-01,1.45,GA,"Gainesville, GA",Gainesville
2018-05-01,0.0,GA,"Gainesville, GA",Gainesville
2018-06-01,2.72,GA,"Gainesville, GA",Gainesville
2018-07-01,-2.66,GA,"Gainesville, GA",Gainesville
