date,All Employees: Retail Trade,state,msa,city,title,id,frequency,seasonal_adjustment
1999-06-01,14.059254187274801,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1999-07-01,14.234487399287698,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1999-08-01,14.2657333081057,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1999-09-01,14.242355088482801,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1999-10-01,14.331860201765098,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1999-11-01,14.578888022925598,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1999-12-01,14.6607545278191,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-01-01,14.804954102276401,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-02-01,14.707961721078,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-03-01,14.6855894296455,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-04-01,14.734374133912802,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-05-01,14.702342574878301,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-06-01,14.659925199438,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-07-01,14.5400880147577,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-08-01,14.5719083386996,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-09-01,14.5552717653232,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-10-01,14.617045433960099,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-11-01,14.6621897939265,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2000-12-01,14.630960142649199,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2001-01-01,14.6111436172527,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2001-02-01,14.5863165429723,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2001-03-01,14.713934476152401,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2001-04-01,14.670019118355201,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
2001-05-01,14.998152001768998,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
