date,Housing Inventory: Median Days on Market Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2019-05-01,-14.6067416,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2019-06-01,-5.2631579,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2019-07-01,2.7777778,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2019-08-01,5.4054054,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2019-09-01,-6.4102564,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2019-10-01,2.739726,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2019-11-01,20.0,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2019-12-01,28.8888889,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2020-01-01,-10.3448276,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2020-02-01,-19.2307692,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2020-03-01,-2.3809524,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2020-04-01,-17.0731707,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2020-05-01,23.5294118,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2020-06-01,-20.2380952,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2020-07-01,5.9701493,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2020-08-01,4.2253521,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2020-09-01,-4.0540541,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2020-10-01,-7.0422535,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2020-11-01,0.0,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
