date,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,state,msa,city
2018-01-01,13.79,NE,"Lincoln, NE",Lincoln
2018-02-01,16.4,NE,"Lincoln, NE",Lincoln
2018-03-01,16.62,NE,"Lincoln, NE",Lincoln
2018-04-01,10.74,NE,"Lincoln, NE",Lincoln
2018-05-01,9.32,NE,"Lincoln, NE",Lincoln
2018-06-01,9.46,NE,"Lincoln, NE",Lincoln
2018-07-01,10.19,NE,"Lincoln, NE",Lincoln
2018-08-01,10.49,NE,"Lincoln, NE",Lincoln
2018-09-01,10.62,NE,"Lincoln, NE",Lincoln
2018-10-01,9.04,NE,"Lincoln, NE",Lincoln
2018-11-01,4.85,NE,"Lincoln, NE",Lincoln
2018-12-01,5.43,NE,"Lincoln, NE",Lincoln
2019-01-01,1.72,NE,"Lincoln, NE",Lincoln
2019-02-01,-0.53,NE,"Lincoln, NE",Lincoln
2019-03-01,-9.48,NE,"Lincoln, NE",Lincoln
2019-04-01,-27.57,NE,"Lincoln, NE",Lincoln
2019-05-01,-31.8,NE,"Lincoln, NE",Lincoln
2019-06-01,-31.16,NE,"Lincoln, NE",Lincoln
2019-07-01,-30.8,NE,"Lincoln, NE",Lincoln
2019-08-01,-32.18,NE,"Lincoln, NE",Lincoln
2019-09-01,-31.17,NE,"Lincoln, NE",Lincoln
2019-10-01,-29.9,NE,"Lincoln, NE",Lincoln
2019-11-01,-28.88,NE,"Lincoln, NE",Lincoln
2019-12-01,-29.32,NE,"Lincoln, NE",Lincoln
2020-01-01,-28.28,NE,"Lincoln, NE",Lincoln
2020-02-01,-30.1,NE,"Lincoln, NE",Lincoln
2020-03-01,-23.04,NE,"Lincoln, NE",Lincoln
2020-04-01,-4.72,NE,"Lincoln, NE",Lincoln
2020-05-01,3.56,NE,"Lincoln, NE",Lincoln
2020-06-01,4.79,NE,"Lincoln, NE",Lincoln
2020-07-01,6.74,NE,"Lincoln, NE",Lincoln
2020-08-01,6.09,NE,"Lincoln, NE",Lincoln
2020-09-01,9.39,NE,"Lincoln, NE",Lincoln
