date,Housing Inventory: Median Days on Market Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2019-05-01,17.4418605,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2019-06-01,15.5555556,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2019-07-01,1.9417476,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2019-08-01,5.5555556,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2019-09-01,0.8474576,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2019-10-01,-0.7874016,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2019-11-01,0.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2019-12-01,0.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2020-01-01,-4.0540541,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2020-02-01,-11.4503817,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2020-03-01,-10.9090909,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2020-04-01,6.8627451,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2020-05-01,24.7524752,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
