date,All Employees: Wholesale Trade,state,msa,city,title,id,frequency,seasonal_adjustment
1998-10-01,3.8058339777649803,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1998-11-01,3.8099859062186496,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1998-12-01,3.8002966403774,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-01-01,3.79478391376352,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-02-01,3.80512707647893,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-03-01,3.80907189926436,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-04-01,3.70967872475568,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-05-01,3.70172039076348,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-06-01,3.6824575768289702,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-07-01,3.6806288706201404,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-08-01,3.6944627107300096,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-09-01,3.61164356284581,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-10-01,3.70646952095241,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-11-01,3.70532963137676,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1999-12-01,3.7996248558514303,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-01-01,3.59008695132078,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-02-01,3.60488911217587,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-03-01,3.6071185241383703,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-04-01,3.7105624955440404,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-05-01,3.70309859539308,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-06-01,3.68895206033501,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-07-01,3.6838931034773,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-08-01,3.69214407497941,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-09-01,3.7144262925871496,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-10-01,3.7062544415116,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-11-01,3.69917253621656,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2000-12-01,3.69288991017678,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2001-01-01,3.7880901175449,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2001-02-01,3.8097247058671098,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2001-03-01,3.8114182506839196,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
2001-04-01,3.8096206171835,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
