date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2021-07-01,20.98,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2021-08-01,32.08,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2021-09-01,-3.06,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2021-10-01,0.68,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2021-11-01,11.66,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2017-07-01,-3.97,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2017-08-01,-7.31,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2017-09-01,-2.26,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2017-10-01,3.95,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2017-11-01,7.76,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2017-12-01,6.8,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2018-01-01,6.98,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2018-02-01,2.38,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2018-03-01,0.43,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2018-04-01,-3.64,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2018-05-01,-4.94,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2018-06-01,-7.86,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2018-07-01,-2.39,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2018-08-01,-2.24,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2018-09-01,-1.49,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2018-10-01,6.59,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
2018-11-01,11.91,FL,"Punta Gorda, FL",Punta Gorda,"Housing Inventory: Active Listing Count Month-Over-Month in Punta Gorda, FL (CBSA)",ACTLISCOUMM39460,Monthly,Not Seasonally Adjusted
