date,Regional Price Parities,state,msa,city,title,id,frequency,seasonal_adjustment
2019-01-01,91.2,GA,"Gainesville, GA",Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2008-01-01,100.3,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2009-01-01,100.8,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2010-01-01,100.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2011-01-01,100.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2012-01-01,100.2,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2013-01-01,100.5,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2014-01-01,100.9,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2015-01-01,101.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2016-01-01,101.3,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2017-01-01,101.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2018-01-01,101.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2019-01-01,101.7,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Regional Price Parities: All Items for Houston-The Woodlands-Sugar Land, TX (MSA)",RPPALL26420,Annual,Not Seasonally Adjusted
2008-01-01,94.5,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2009-01-01,95.7,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2010-01-01,96.2,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2011-01-01,97.4,WA,"Kennewick-Richland, WA",Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
