date,New Private Housing Units Authorized by Building Permits,state,msa,city,title,id,frequency,seasonal_adjustment
1995-01-01,194.018208621501,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1995-02-01,202.67184787735198,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1995-03-01,207.687840553854,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1995-04-01,176.39071467954497,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1995-05-01,211.43913216822398,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1995-06-01,195.89642668882303,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1995-07-01,186.896954962872,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1995-08-01,220.71076392275,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1995-09-01,219.99330820582,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1995-10-01,213.45369489287103,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1995-11-01,231.68238924411,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1995-12-01,183.429144734954,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-01-01,198.24708533789,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-02-01,211.454889663919,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-03-01,195.811164389309,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-04-01,241.79880308195203,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-05-01,238.078751392579,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-06-01,171.635329521642,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-07-01,228.649688488288,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-08-01,210.422595655741,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-09-01,189.608931766303,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-10-01,224.19062000845298,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-11-01,223.738971062639,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1996-12-01,242.723226782532,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
