date,Housing Inventory: Median Listing Price per Square Feet Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-11-01,-1.09,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2017-12-01,-1.28,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-01-01,0.22,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-02-01,3.03,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-03-01,4.16,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-04-01,1.68,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-05-01,0.66,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-06-01,-0.66,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-07-01,-0.71,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-08-01,-0.77,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-09-01,-0.28,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-10-01,-0.72,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-11-01,-0.66,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2018-12-01,-1.37,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2019-01-01,0.24,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2019-02-01,2.56,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2019-03-01,2.83,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2019-04-01,2.1,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2019-05-01,0.08,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2019-06-01,-0.15,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2019-07-01,-1.27,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2019-08-01,-1.16,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2019-09-01,-0.77,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2019-10-01,-1.11,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
2019-11-01,-0.95,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",MEDLISPRIPERSQUFEEMM16980,Monthly,Not Seasonally Adjusted
