date,Housing Inventory: Price Reduced Count,state,msa,city,title,id,frequency,seasonal_adjustment
2020-06-01,184.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2020-07-01,196.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2020-08-01,180.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2020-09-01,140.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2020-10-01,180.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2020-11-01,116.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2020-12-01,68.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2021-01-01,52.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2021-02-01,40.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2021-03-01,72.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2021-04-01,60.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2021-05-01,104.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2021-06-01,84.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2021-07-01,92.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
