date,Housing Inventory: Price Reduced Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2021-06-01,-64.77,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2021-07-01,-43.68,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2021-08-01,-15.71,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2021-09-01,12.5,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2021-10-01,-9.52,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2021-11-01,21.43,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2017-07-01,17.88,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2017-08-01,15.49,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2017-09-01,-10.38,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
2017-10-01,-0.07,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Reduced Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIREDCOUYY26420,Monthly,Not Seasonally Adjusted
