date,Average Weekly Hours of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2017-04-01,35.4055090998614,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2017-05-01,35.1792663019921,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2017-06-01,35.0593389869086,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2017-07-01,35.530983484994,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2017-08-01,35.153303247832106,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2017-09-01,34.923824540190104,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2017-10-01,35.4283386835063,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2017-11-01,35.0008244078329,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2017-12-01,34.848317613580896,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-01-01,34.8117343477578,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-02-01,35.0411976832124,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-03-01,34.8638456833885,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-04-01,35.3662808715421,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-05-01,34.95478490866461,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-06-01,35.0193634290263,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-07-01,35.3409897815581,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-08-01,34.922436650516,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-09-01,35.4720024454378,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-10-01,34.7556702578628,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-11-01,34.7964541091783,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2018-12-01,35.2932621261623,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-01-01,34.7232779724078,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-02-01,34.769094628086904,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-03-01,34.88325595174,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-04-01,34.5798754819385,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-05-01,34.7138483848247,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-06-01,35.7290208304816,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-07-01,34.7026240936553,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-08-01,34.7927225798699,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-09-01,35.2567927404238,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-10-01,34.608545270282995,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-11-01,34.768166469693604,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2019-12-01,35.1633383804252,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2020-01-01,34.8205160372787,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2020-02-01,35.562015807204496,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2020-03-01,35.0729527463956,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2020-04-01,33.736907445041396,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2020-05-01,34.6600744682629,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2020-06-01,34.6113991517076,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
