date,Housing Inventory: Price Increased Count,state,msa,city,title,id,frequency,seasonal_adjustment
2017-10-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2017-11-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2017-12-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-01-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-02-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-03-01,8.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-04-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-05-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-06-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-07-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-08-01,12.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-09-01,8.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-10-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-11-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2018-12-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-01-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-02-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-03-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-04-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-05-01,8.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-06-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-07-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-08-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-09-01,16.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-10-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-11-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2019-12-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2020-01-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2020-02-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2020-03-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2020-04-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2020-05-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2020-06-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2020-07-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2020-08-01,4.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2020-09-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
2020-10-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Increased Count in Morgantown, WV (CBSA)",PRIINCCOU34060,Monthly,Not Seasonally Adjusted
