date,Housing Inventory: Median Listing Price Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2019-05-01,-1.5,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2019-06-01,-1.52,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2019-07-01,-1.79,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2019-08-01,-1.99,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2019-09-01,-2.36,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2019-10-01,-1.57,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2019-11-01,-1.61,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2019-12-01,-2.91,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2020-01-01,-3.06,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
2020-02-01,-2.12,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Listing Price Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDLISPRIYY26420,Monthly,Not Seasonally Adjusted
