date,Housing Inventory: Pending Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2018-06-01,-10.83,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2018-07-01,-12.95,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2018-08-01,-12.47,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2018-09-01,-2.35,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2018-10-01,-6.16,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2018-11-01,-0.71,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2018-12-01,-9.05,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-01-01,-6.16,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-02-01,21.55,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-03-01,23.68,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-04-01,17.13,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-05-01,7.65,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-06-01,-5.86,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-07-01,-14.15,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-08-01,-4.51,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-09-01,-4.6,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-10-01,-4.1,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-11-01,-2.39,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2019-12-01,-17.14,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-01-01,-2.33,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-02-01,21.5,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-03-01,16.51,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-04-01,-3.37,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-05-01,0.12,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-06-01,5.47,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-07-01,-1.1,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-08-01,-0.33,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-09-01,4.36,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-10-01,2.04,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-11-01,-6.3,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2020-12-01,-4.15,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2021-01-01,-8.3,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2021-02-01,16.07,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2021-03-01,11.43,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2021-04-01,11.64,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2021-05-01,4.42,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2021-06-01,-4.4,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2021-07-01,-13.63,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2021-08-01,-9.94,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2021-09-01,-2.62,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2021-10-01,1.05,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2021-11-01,-8.32,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count Month-Over-Month in Charlottesville, VA (CBSA)",PENLISCOUMM16820,Monthly,Not Seasonally Adjusted
2017-07-01,-10.12,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2017-08-01,-10.93,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2017-09-01,-9.62,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2017-10-01,-6.59,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2017-11-01,-6.19,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2017-12-01,-13.04,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-01-01,-9.69,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-02-01,25.77,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-03-01,26.2,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-04-01,17.92,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-05-01,4.72,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-06-01,-7.18,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-07-01,-9.43,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-08-01,-9.94,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-09-01,-7.96,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-10-01,-8.36,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-11-01,-9.3,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
2018-12-01,-14.44,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: Pending Listing Count Month-Over-Month in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",PENLISCOUMM16980,Monthly,Not Seasonally Adjusted
