date,Housing Inventory: Price Reduced Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2020-01-01,40.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2020-02-01,4.76,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2020-03-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2020-04-01,-31.82,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2020-05-01,40.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2020-06-01,33.33,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2020-07-01,-25.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2020-08-01,47.62,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2020-09-01,-12.9,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2020-10-01,-11.11,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2020-11-01,-33.33,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2020-12-01,-25.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2021-01-01,-41.67,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2021-02-01,28.57,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2021-03-01,-11.11,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2021-04-01,50.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2021-05-01,-25.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2021-06-01,0.0,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2021-07-01,88.89,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2021-08-01,-23.53,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2021-09-01,7.69,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2021-10-01,-7.14,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2021-11-01,-23.08,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2017-07-01,0.24,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2017-08-01,-5.4,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2017-09-01,11.17,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2017-10-01,-12.72,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2017-11-01,-13.3,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2017-12-01,-25.96,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-01-01,22.31,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-02-01,9.77,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-03-01,8.9,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-04-01,12.53,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-05-01,-3.15,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-06-01,3.0,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-07-01,2.18,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-08-01,1.43,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-09-01,-37.7,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-10-01,37.97,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-11-01,3.27,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2018-12-01,-34.3,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2019-01-01,26.1,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2019-02-01,8.92,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2019-03-01,6.14,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2019-04-01,3.58,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2019-05-01,27.39,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2019-06-01,-5.85,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
2019-07-01,2.66,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,"Housing Inventory: Price Reduced Count Month-Over-Month in Myrtle Beach-Conway-North Myrtle Beach, SC-NC (CBSA)",PRIREDCOUMM34820,Monthly,Not Seasonally Adjusted
