date,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors",state,msa,city,title,id,frequency,seasonal_adjustment
1998-05-01,30.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1998-06-01,30,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1998-07-01,30.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1998-08-01,30.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1998-09-01,30.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1998-10-01,31.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1998-11-01,31.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1998-12-01,31.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1999-01-01,31.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1999-02-01,32.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1999-03-01,32,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1999-04-01,31.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1999-05-01,31.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1999-06-01,31.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1999-07-01,32.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1999-08-01,32.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
