date,All Employees: Service-Providing,state,msa,city,title,id,frequency,seasonal_adjustment
1998-04-01,27.272897374085897,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1998-05-01,27.535875089688698,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1998-06-01,27.1412590443656,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1998-07-01,27.344642586593398,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1998-08-01,27.313388009786202,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1998-09-01,27.3009681311396,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1998-10-01,27.639959172627396,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1998-11-01,28.222920965141,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1998-12-01,28.497727277862502,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-01-01,28.013954771020998,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-02-01,28.1510348408931,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-03-01,28.1088731861208,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-04-01,28.391137404161302,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-05-01,28.4264602866764,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-06-01,28.677927481346398,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-07-01,28.7387050843504,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-08-01,28.7275496132579,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-09-01,28.4038212921659,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-10-01,29.823311629080802,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-11-01,28.8306038655131,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1999-12-01,29.518253418295497,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
2000-01-01,28.964507381366,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
2000-02-01,28.879948453439997,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
2000-03-01,28.909550359496304,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
2000-04-01,29.0046899776926,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
2000-05-01,29.155261202446102,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
2000-06-01,29.069578330502,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
2000-07-01,27.6484815510327,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
2000-08-01,27.495497163905895,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
2000-09-01,27.590975970467895,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
2000-10-01,27.7964235187973,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
2000-11-01,27.893887256559896,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
