date,All Employees: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1994-01-01,379.1,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
1995-01-01,390.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
1996-01-01,396.8,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
1997-01-01,399.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
1998-01-01,404.3,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
1999-01-01,409.5,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2000-01-01,417.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2001-01-01,427.1,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2002-01-01,439.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2003-01-01,445.7,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2004-01-01,439.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2005-01-01,443.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2006-01-01,445.2,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2007-01-01,446.8,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2008-01-01,451.2,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
2009-01-01,451.5,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: Local Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809093000001A,Annual,Not Seasonally Adjusted
