date,Resident Population,state,msa,city,title,id,frequency,seasonal_adjustment
2013-01-01,4305.782,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2014-01-01,4311.488,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2015-01-01,4310.146,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2016-01-01,4317.016,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2017-01-01,4322.49,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2018-01-01,4323.861,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2019-01-01,4319.413,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2020-01-01,4304.136,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Resident Population in Detroit-Warren-Dearborn, MI (MSA)",DWLPOP,Annual,Not Seasonally Adjusted
2000-01-01,140.886,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2001-01-01,146.87,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2002-01-01,151.775,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2003-01-01,155.887,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2004-01-01,159.745,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2005-01-01,165.245,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2006-01-01,171.867,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2007-01-01,178.838,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2008-01-01,184.731,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2009-01-01,187.743,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2010-01-01,180.07,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2011-01-01,182.299,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2012-01-01,184.136,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2013-01-01,186.459,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2014-01-01,189.156,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2015-01-01,192.249,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
2016-01-01,196.176,GA,"Gainesville, GA",Gainesville,"Resident Population in Gainesville, GA (MSA)",GAIPOP,Annual,Not Seasonally Adjusted
