date,Housing Inventory: Active Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2018-06-01,1723.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2018-07-01,1694.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2018-08-01,1667.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2018-09-01,1690.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2018-10-01,1704.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2018-11-01,1552.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2018-12-01,1363.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2019-01-01,1267.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2019-02-01,1292.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2019-03-01,1409.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2019-04-01,1539.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2019-05-01,1624.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2019-06-01,1624.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2019-07-01,1618.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2019-08-01,1601.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
