date,Housing Inventory: Median Listing Price per Square Feet,state,msa,city,title,id,frequency,seasonal_adjustment
2018-10-01,164.7706114,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2018-11-01,165.5706553,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2018-12-01,165.2479339,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2019-01-01,166.7342097,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2019-02-01,168.6570863,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2019-03-01,169.6772227,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2019-04-01,168.8584959,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2019-05-01,169.597286,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2019-06-01,170.4192547,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2019-07-01,171.0706373,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2019-08-01,171.6601182,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2019-09-01,172.332958,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2019-10-01,174.4096971,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2019-11-01,175.2732755,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
