date,All Employees: Manufacturing,state,msa,city,title,id,frequency,seasonal_adjustment
2000-04-01,27.189445542039,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2000-05-01,27.377846826844397,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2000-06-01,27.4554849023791,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2000-07-01,27.789286252417998,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2000-08-01,27.784395484365,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2000-09-01,27.9053130388737,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2000-10-01,27.996961965160498,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2000-11-01,28.1192168093436,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2000-12-01,28.275592540908605,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-01-01,28.405776748312203,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-02-01,28.443556317832197,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-03-01,28.499092322156102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-04-01,28.0523597165202,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-05-01,27.8549017994932,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-06-01,27.538967757547997,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-07-01,26.584501517516898,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-08-01,26.392760985422697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-09-01,26.1186330962714,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-10-01,26.0072440343335,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-11-01,25.7384976123252,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2001-12-01,25.5757809327964,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2002-01-01,25.3194680127995,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2002-02-01,25.057530420047698,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2002-03-01,24.9912255387904,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2002-04-01,25.019271623020398,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2002-05-01,24.9270607839917,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2002-06-01,25.027147277016695,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2002-07-01,25.0026537509518,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2002-08-01,24.8141676444786,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2002-09-01,24.7402716434023,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
2002-10-01,24.3967377409988,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
