date,All Employees: Government: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
2000-04-01,14.2251073401683,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2000-05-01,15.290333538445699,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2000-06-01,13.890256073901401,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2000-07-01,14.2498402897759,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2000-08-01,13.977175396191402,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2000-09-01,13.7770822699352,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2000-10-01,13.600195362611,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2000-11-01,13.7363161706744,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2000-12-01,13.8245029261224,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-01-01,13.671330237691901,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-02-01,13.7063233346735,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-03-01,13.6383941371174,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-04-01,13.743436710412901,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-05-01,13.793166137425402,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-06-01,13.8720594454457,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-07-01,13.8600484287533,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-08-01,13.8608482648934,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-09-01,13.9581287194103,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-10-01,13.9144329180945,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-11-01,13.949231536408801,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2001-12-01,13.9370764835072,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2002-01-01,13.9724295190195,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
2002-02-01,13.902260315009901,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
