date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2018-08-01,1.79,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-09-01,1.37,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-10-01,6.12,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-11-01,-1.41,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-12-01,-3.64,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-01-01,-6.03,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-02-01,-0.89,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-03-01,4.05,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-04-01,6.27,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-05-01,3.87,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-06-01,3.05,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-07-01,2.72,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-08-01,-0.62,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-09-01,-1.43,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-10-01,-0.64,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-11-01,-6.34,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-12-01,-6.95,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-01-01,-9.04,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-02-01,-4.64,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-03-01,-0.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-04-01,9.75,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-05-01,-2.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-06-01,-10.29,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUMM12060,Monthly,Not Seasonally Adjusted
