date,All Employees: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
2017-01-01,30.8,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2018-01-01,31.4,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2019-01-01,32.7,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
2020-01-01,32.3,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: State Government in Birmingham-Hoover, AL (MSA)",SMU01138209092000001A,Annual,Not Seasonally Adjusted
1990-01-01,8.6,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
1991-01-01,8.7,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
1992-01-01,9.3,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
1993-01-01,9.6,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
1994-01-01,9.8,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
1995-01-01,10.1,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
1996-01-01,10.2,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
1997-01-01,10.3,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
1998-01-01,10.3,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
1999-01-01,10.6,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2000-01-01,10.8,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2001-01-01,10.9,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2002-01-01,11.3,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2003-01-01,11.9,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2004-01-01,11.9,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2005-01-01,11.9,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2006-01-01,11.2,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2007-01-01,11.2,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2008-01-01,11.3,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2009-01-01,11.4,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2010-01-01,11.5,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2011-01-01,11.5,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2012-01-01,11.6,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
2013-01-01,11.5,WV,"Charleston, WV",Charleston,"All Employees: State Government in Charleston, WV (MSA)",SMU54166209092000001A,Annual,Not Seasonally Adjusted
