date,All Employees: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
2018-01-01,43.8,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2019-01-01,44.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
2020-01-01,42.9,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Local Government in Birmingham-Hoover, AL (MSA)",SMU01138209093000001A,Annual,Not Seasonally Adjusted
1990-01-01,9.5,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
1991-01-01,9.4,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
1992-01-01,9.3,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
1993-01-01,9.2,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
1994-01-01,9.1,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
1995-01-01,9.4,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
1996-01-01,9.5,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
1997-01-01,9.8,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
1998-01-01,9.7,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
1999-01-01,10.0,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2000-01-01,9.9,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2001-01-01,9.8,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2002-01-01,9.8,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2003-01-01,10.3,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2004-01-01,10.4,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2005-01-01,10.5,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2006-01-01,10.7,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2007-01-01,10.7,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2008-01-01,10.5,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2009-01-01,10.7,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2010-01-01,10.7,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
2011-01-01,10.6,WV,"Charleston, WV",Charleston,"All Employees: Local Government in Charleston, WV (MSA)",SMU54166209093000001A,Annual,Not Seasonally Adjusted
