date,"All Employees: Mining, Logging, and Construction",state,msa,city,title,id,frequency,seasonal_adjustment
1999-04-01,21.5871378370325,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1999-05-01,21.5942363171609,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1999-06-01,21.943105609158696,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1999-07-01,22.079054586777,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1999-08-01,22.0623633803899,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1999-09-01,22.5164427134165,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1999-10-01,22.324041309837103,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1999-11-01,22.046421348987398,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1999-12-01,22.2620813999278,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-01-01,22.1362638126202,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-02-01,22.3096758066752,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-03-01,22.483238574607896,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-04-01,22.4391972089094,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-05-01,23.1395115067618,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-06-01,23.423149752947197,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-07-01,23.7836515706043,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-08-01,24.2414376560145,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-09-01,24.9547271166475,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-10-01,24.877835795195605,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-11-01,25.3359312996268,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2000-12-01,25.3910055800542,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2001-01-01,25.4500432325046,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2001-02-01,25.361448766907802,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2001-03-01,25.286154455761398,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2001-04-01,25.214429430728604,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2001-05-01,25.1773288533566,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2001-06-01,25.446350201517898,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2001-07-01,24.981276707832,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2001-08-01,25.0315910910258,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2001-09-01,24.706489276442,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
2001-10-01,24.628520851101197,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
