date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2017-06-01,419098.9619,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2017-07-01,410101.0491,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2017-08-01,410924.7015,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2017-09-01,411907.4154,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2017-10-01,414309.5937,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2017-11-01,415529.1319,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2017-12-01,415824.9067,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-01-01,420649.0231,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-02-01,429864.0651,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-03-01,439914.7054,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-04-01,459575.799,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-05-01,457394.7817,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-06-01,450983.5887,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-07-01,442119.3663,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-08-01,437679.2084,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-09-01,428724.3372,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-10-01,428758.2837,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-11-01,433445.8037,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2018-12-01,430358.3261,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2019-01-01,426741.8846,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2019-02-01,431741.8917,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2019-03-01,437857.6629,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2019-04-01,441474.8541,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
2019-05-01,445535.7457,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
