date,year,month,city,state,housing_median_listing_price,education,financial,hourly_earnings,resident_population,government,manufacturing,housing_active_listing_count,unemployment_rate,housing_median_home_size_in_square_feet,housing_new_listing_count,housing_median_days_on_market,leisure
2018-02-01,2018,2,Topeka,KS,114950.0,1.4034956848183672e-06,5.53320189500116e-07,22.723802978498302,232.216,2.7950631504703507e-07,4.637368467511547e-07,5.326591775324926e-05,3.3,1647.5,2.1402197837887253e-05,61.0,6.110508469696299e-07
2018-03-01,2018,3,Topeka,KS,115000.0,1.3941123157653089e-06,5.481516005285545e-07,22.584679296828398,232.216,2.7950631504703507e-07,4.581265622224183e-07,5.254718722884259e-05,3.3,1694.0,2.8749220976266462e-05,46.0,6.223065842865173e-07
2018-04-01,2018,4,Topeka,KS,119700.0,1.4029356259854988e-06,5.550938700395109e-07,22.4063075920015,232.216,2.7950631504703507e-07,4.620080561433278e-07,5.2866623017467774e-05,3.4,1725.0,2.5874298878639817e-05,42.0,6.282862566653847e-07
2018-05-01,2018,5,Topeka,KS,127200.0,1.4172244414637535e-06,5.537609460293394e-07,22.5911411364084,232.216,2.7950631504703507e-07,4.7036752881776444e-07,5.446380196059369e-05,3.4,1725.5,2.842978518764128e-05,43.0,6.225956504891639e-07
2018-06-01,2018,6,Topeka,KS,133000.0,1.4209252274650577e-06,5.4141495671129e-07,22.716849968105198,232.216,2.7950631504703507e-07,4.6984422847387297e-07,5.8297031424095884e-05,3.4,1746.0,3.098527149664274e-05,38.0,6.226577650525009e-07
2018-07-01,2018,7,Topeka,KS,134500.0,1.4258713807262367e-06,5.478719694825216e-07,22.895503603554502,232.216,2.7950631504703507e-07,4.6917925559934e-07,6.0772658785941055e-05,3.4,1764.0,2.970752834214201e-05,38.5,6.230888529284177e-07
2018-08-01,2018,8,Topeka,KS,129900.0,1.4251312337924298e-06,5.380297804021511e-07,23.111364584367102,232.216,2.7950631504703507e-07,4.703686710456498e-07,5.9974069314378095e-05,3.4,1687.0,2.4596555724139086e-05,43.5,6.27818129707082e-07
2018-09-01,2018,9,Topeka,KS,125000.0,1.4192286739467688e-06,5.428995647975438e-07,23.4019434686474,232.216,2.7950631504703507e-07,4.7466043836373203e-07,6.141153036319142e-05,3.4,1602.0,2.7471477821765734e-05,44.0,6.32060996488872e-07
2018-10-01,2018,10,Topeka,KS,125375.0,1.4345479538402596e-06,5.422467862677321e-07,23.4813741050769,232.216,2.7950631504703507e-07,4.727255298892292e-07,5.917547984281514e-05,3.4,1611.0,2.2679940992387988e-05,48.0,6.215579190974336e-07
2018-11-01,2018,11,Topeka,KS,121200.0,1.4706618906920776e-06,5.409833263779165e-07,23.5463375575725,232.216,2.7950631504703507e-07,4.728742114171047e-07,5.7338724058220335e-05,3.4,1597.0,2.044389047201171e-05,58.5,6.230838448026999e-07
2018-12-01,2018,12,Topeka,KS,120000.0,1.4764083551145145e-06,5.395820650320267e-07,23.7769250253189,232.216,2.7950631504703507e-07,4.788050851256763e-07,5.182845670443593e-05,3.4,1584.0,1.5971789431259146e-05,64.0,6.221070774702457e-07
