date,Per Capita Personal Income,state,msa,city,title,id,frequency,seasonal_adjustment
1969-01-01,3767,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1970-01-01,4058,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1971-01-01,4459,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1972-01-01,4855,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1973-01-01,5378,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1974-01-01,5869,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1975-01-01,6389,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1976-01-01,6921,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1977-01-01,7748,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1978-01-01,8577,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1979-01-01,9368,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1980-01-01,10277,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1981-01-01,11662,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1982-01-01,12440,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1983-01-01,12959,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1984-01-01,14087,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1985-01-01,15079,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1986-01-01,15648,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1987-01-01,16150,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1988-01-01,16930,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1989-01-01,17771,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1990-01-01,18482,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1991-01-01,18826,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1992-01-01,19902,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1993-01-01,20571,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1994-01-01,21470,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1995-01-01,22184,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1996-01-01,23299,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1997-01-01,23960,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
1998-01-01,25240,KS,"Topeka, KS",Topeka,"Per Capita Personal Income in Topeka, KS (MSA)",TOPE820PCPI,Annual,Not Seasonally Adjusted
