date,year,month,city,state,housing_median_listing_price,education,financial,hourly_earnings,resident_population,government,manufacturing,housing_active_listing_count,unemployment_rate,housing_median_home_size_in_square_feet,housing_new_listing_count,housing_median_days_on_market,leisure
2019-03-01,2019,3,Topeka,KS,130428.5714,0.0003435827645600688,0.00012398002919706134,24.2667616913574,231.862,6.510418235658085e-05,0.00011065216671724337,0.010565478736725122,3.4,1661.142857,0.0043154772304933595,56.0,0.00014512438024220017
2019-04-01,2019,4,Topeka,KS,140000.0,0.00033818630391796786,0.00012183320737211579,24.355761987087604,231.862,6.510418235658085e-05,0.00011332946051072305,0.010174853642585637,3.3,1695.5,0.006250001506231762,37.0,0.00014468624369013902
2019-05-01,2019,5,Topeka,KS,158250.0,0.00034142146976492673,0.00012147730831246181,23.936400921911,231.862,6.510418235658085e-05,0.0001134048960865596,0.010249258422421728,3.3,1800.0,0.004985120249018191,38.0,0.00014530567981702508
2019-06-01,2019,6,Topeka,KS,149999.0,0.00034226652283254964,0.00012072631481291897,24.3662632002665,231.862,6.324406286067854e-05,0.00011326850231196493,0.01073288949135633,3.3,1800.0,0.005282739368362561,40.0,0.00014710788251497145
2019-07-01,2019,7,Topeka,KS,149999.5,0.000341494584100049,0.00012023447585599738,24.0062034396948,231.862,6.510418235658085e-05,0.00011472097845003158,0.01062128232160219,3.2,1785.5,0.004910715469182099,41.0,0.00014537549045248467
2019-08-01,2019,8,Topeka,KS,145614.2857,0.0003449093443742944,0.00011980624330793543,24.141739843945498,231.862,6.510418235658085e-05,0.00011510880465544278,0.010435270372011961,3.2,1746.0,0.004836310689346006,45.0,0.00014607580689635834
2019-09-01,2019,9,Topeka,KS,141664.2857,0.00034346218108171906,0.00011912571173213769,24.244322454520898,231.862,6.510418235658085e-05,0.00011423666571017004,0.010267859617380753,3.2,1737.0,0.004836310689346006,38.5,0.00014532388975205555
2019-10-01,2019,10,Topeka,KS,148699.5,0.00034514118244111715,0.00011889947759843736,23.5993836420932,231.862,6.510418235658085e-05,0.00011539896655500077,0.010844496661110467,3.2,1749.0,0.005357144148198653,41.0,0.00014825655578080464
2019-11-01,2019,11,Topeka,KS,135000.0,0.0003444271511805966,0.00011855944783070642,23.816206724729,231.862,6.324406286067854e-05,0.00011559256205989852,0.01091890144094656,3.2,1726.0,0.004092262890985082,46.0,0.0001468436643131385
2019-12-01,2019,12,Topeka,KS,131900.0,0.00034379706704997393,0.00011817517356636754,23.5663046429668,231.862,6.138394336477623e-05,0.00011522698820102939,0.010119050057708566,3.2,1682.5,0.0028273816337715117,55.0,0.000146536991810941
2020-01-01,2020,1,Topeka,KS,129450.0,0.0003507722316339597,0.00011837037408629641,23.5558728413578,230.878,6.19082940282521e-05,0.0001153750038278041,0.008854762054949998,3.2,1650.5,0.0036769774634961856,61.5,0.0001483213165656161
2020-02-01,2020,2,Topeka,KS,139900.0,0.000351941673819638,0.00011669457249763573,23.7815836676678,230.878,6.378430293819914e-05,0.00011640317111292648,0.008048078223672773,3.3,1673.0,0.004052179245485592,64.0,0.00014717520271439961
2020-03-01,2020,3,Topeka,KS,149950.0,0.00034466125567683594,0.00011554953562876506,23.588533836473605,230.878,6.378430293819914e-05,0.00011743725827315976,0.007766676887180718,3.3,1682.0,0.004352340671077117,37.0,0.00014459615814277756
2020-04-01,2020,4,Topeka,KS,163000.0,0.0003297681308935145,0.00011540556309544858,23.6287010910009,230.878,6.19082940282521e-05,0.00010492739531771604,0.007541555817987074,12.6,1790.5,0.0035268967507004227,40.0,8.609569177919692e-05
2020-05-01,2020,5,Topeka,KS,169777.0,0.00033125825964743974,0.00011502231795961838,23.548238256511997,230.878,6.378430293819914e-05,0.00010503525656812818,0.006265869759223092,9.0,1818.0,0.004052179245485592,44.0,0.00011106881942752001
2020-06-01,2020,6,Topeka,KS,152450.0,0.00032844840633972474,0.00011442354501999612,23.3948151838029,230.878,6.19082940282521e-05,0.00011241235446153721,0.005853147799034744,6.5,1731.0,0.004952663522260169,26.0,0.00012413245907277504
2020-07-01,2020,7,Topeka,KS,135200.0,0.00033545503185136477,0.00011569847780227928,23.503149171241798,230.878,6.378430293819914e-05,0.00011562698136341201,0.005778107442636863,6.4,1632.5,0.004352340671077117,25.5,0.00012436101277046982
2020-08-01,2020,8,Topeka,KS,149900.0,0.00033668495065414375,0.00011334155273320411,23.661771267108804,230.878,6.566031184814616e-05,0.0001160675777889905,0.005552986373443219,5.8,1660.0,0.003752017819894067,31.0,0.00012471415764409924
2020-09-01,2020,9,Topeka,KS,144950.0,0.0003389232474641885,0.00011272338221155566,23.5238109334171,230.878,6.378430293819914e-05,0.000117166987972216,0.0053278653042495745,5.6,1622.0,0.003827058176291948,29.0,0.00012595847224409977
2020-10-01,2020,10,Topeka,KS,142800.0,0.00033842035697192476,0.00011242774076002465,23.4223414486305,230.878,6.378430293819914e-05,0.00011804692889192757,0.004933903433160697,4.1,1659.0,0.0033017756815067792,31.0,0.0001286243078245028
2020-11-01,2020,11,Topeka,KS,144950.0,0.00033806848030071615,0.00011204777177613754,23.433617581594802,230.878,6.19082940282521e-05,0.00011835493109024975,0.004952663522260169,4.2,1626.0,0.003151694968711016,30.0,0.00012737227547292103
2020-12-01,2020,12,Topeka,KS,144950.0,0.0003390187588334717,0.0001116077226631,23.7703088490649,230.878,6.378430293819914e-05,0.00011815316974609868,0.004577461740270762,4.2,1569.0,0.003151694968711016,35.0,0.00012885935707897584
2016-07-01,2016,7,Tulsa,OK,207000.0,6.368967998573788e-06,3.884025900147974e-06,24.1753559146683,989.124,4.790973487694884e-06,1.1519431577066896e-05,0.004331710990743977,5.0,2195.0,0.0015004605319519015,57.0,3.690767635672397e-05
2016-08-01,2016,8,Tulsa,OK,207000.0,6.583777049838206e-06,3.781814692249343e-06,23.9207940096631,989.124,4.815644282395421e-06,1.13742048878851e-05,0.004309224525006278,5.0,2196.5,0.0014800182903721754,60.0,3.66168711503589e-05
2016-09-01,2016,9,Tulsa,OK,199950.0,6.514676381829398e-06,3.781814692249343e-06,24.1282328030526,989.124,4.811282793059596e-06,1.1357642778200539e-05,0.0043674849135084985,4.9,2159.5,0.0014064262206851612,59.5,3.6960610253583694e-05
2016-10-01,2016,10,Tulsa,OK,197900.0,6.3551740718802225e-06,3.781814692249343e-06,24.216859971682002,989.124,4.813275157518748e-06,1.1093234956062263e-05,0.004346020559849786,4.9,2111.0,0.0013450994959459826,60.0,3.7124949157042776e-05
